242.36,176.89
277.29,176.65
316.172,176.998
358.374,177.886
402.746,179.717
447.78,182.362
492.007,185.642
533.724,189.478
238.478,215.104
273.588,216.871
312.648,219.046
355.397,221.654
400.358,224.571
445.962,227.895
490.5,231.37
532.746,234.748
235.449,253.809
270.281,257.682
309.412,261.871
351.803,266.14
396.71,270.331
442.303,274.165
486.931,277.62
529.18,280.6
233.023,292.111
267.614,297.965
305.934,303.865
348.015,309.633
392.057,314.847
437.13,319.354
481.052,322.869
523.103,325.461
231.576,328.834
265.37,336.399
303.012,343.828
343.72,350.762
386.772,356.884
430.49,361.827
473.638,365.559
514.828,367.764
