186.783,173.509
223.225,172.902
259.309,172.423
295.509,171.703
331.784,171.362
368.233,170.581
404.569,170.074
441.287,169.377
186.266,209.116
222.647,208.543
259,208.146
295.585,207.49
332.153,206.85
368.682,206.371
405.495,205.622
442.374,205.089
185.487,245.254
222.261,244.589
258.846,244.223
295.59,243.564
332.477,243.131
369.376,242.489
406.356,241.951
443.449,241.408
184.686,281.628
221.689,281.354
258.583,280.662
295.63,280.398
332.666,279.652
369.943,279.306
407.176,278.637
444.573,278.353
183.813,318.738
221.232,318.443
258.516,317.934
295.706,317.512
333.231,317.065
370.516,316.516
408.153,316.207
445.739,315.633
