[379.76031, 252.75249;
 380.96222, 254.97267;
 399.16177, 253.79471;
 402.9682, 256.17862;
 425.58121, 257.26111;
 425.74963, 257.26764;
 448.61145, 258.17142;
 448.73657, 258.14307;
 379.27762, 259.27747;
 379.34918, 259.14139;
 389.91254, 260.0639;
 401.19382, 260.57159;
 412.56128, 261.12137;
 423.54916, 261.56476;
 435.1236, 262.18481;
 446.54282, 261.72952;
 376.3645, 267.50357;
 381.64499, 268.1011;
 386.9899, 268.23141;
 398.03329, 269.20465;
 409.323, 269.23743;
 420.66989, 269.72479;
 431.92178, 270.27179;
 443.11655, 270.28299;
 372.47803, 276.41238;
 377.77509, 276.59238;
 383.94366, 276.35727;
 394.49088, 277.18655;
 406.00833, 277.99213;
 430.61978, 274.83792;
 430.66614, 274.88803;
 440.40518, 279.75473;
 370.70822, 280.90173;
 370.80099, 280.85934;
 381.42877, 281.35815;
 392.34631, 281.84583;
 403.67374, 282.95212;
 415.34012, 283.49777;
 427.37131, 284.10834;
 438.28366, 284.87265]
