[91.151817, 275.73483;
 116.99662, 278.36398;
 142.57726, 280.79398;
 167.59239, 283.31302;
 192.33432, 285.65411;
 216.44812, 288.07928;
 240.48502, 290.39038;
 263.99365, 292.64252;
 87.460022, 298.73328;
 113.8006, 301.22214;
 139.56642, 303.55365;
 165.28288, 305.81024;
 190.05489, 308.19278;
 214.78278, 310.34647;
 238.92532, 312.55209;
 262.88428, 314.71887;
 83.64946, 322.40125;
 110.39297, 324.60318;
 136.68576, 326.83517;
 162.50027, 329.02908;
 187.97656, 331.18585;
 212.82545, 333.25992;
 237.5562, 335.3815;
 261.67682, 337.47037;
 79.613495, 346.72589;
 106.90131, 348.88431;
 133.51169, 350.84457;
 159.87982, 352.91458;
 185.57605, 354.99274;
 211.10158, 356.80405;
 235.89983, 358.72943;
 260.57864, 360.72711;
 75.514549, 371.90732;
 103.23221, 373.7132;
 130.42613, 375.56195;
 157.03389, 377.51108;
 183.31175, 379.36536;
 208.95668, 381.22412;
 234.43588, 382.89105;
 259.29083, 384.62717]
