[213.62965, 250.27753;
 233.58585, 244.76408;
 253.7737, 239.11234;
 273.59598, 233.48297;
 293.64853, 227.82805;
 313.33441, 222.38052;
 332.97757, 216.78157;
 352.55643, 211.26053;
 217.4926, 267.02176;
 237.98203, 261.0672;
 258.26151, 255.44215;
 278.65097, 249.56731;
 298.55093, 244.02716;
 318.73978, 238.25717;
 338.44919, 232.59117;
 358.51263, 227.01556;
 221.66611, 283.87927;
 242.27533, 278.11414;
 263.02139, 272.13614;
 283.37125, 266.42432;
 303.98062, 260.47879;
 324.06357, 254.62526;
 344.40036, 248.83212;
 364.4082, 243.25975;
 225.76682, 301.59979;
 246.91545, 295.41385;
 267.63837, 289.58185;
 288.74948, 283.49475;
 309.13266, 277.55756;
 329.95691, 271.57446;
 350.27133, 265.71777;
 370.77914, 259.90338;
 230.25386, 319.53622;
 251.4335, 313.48532;
 272.80093, 307.25305;
 293.76413, 301.33136;
 314.91019, 295.23068;
 335.68558, 289.20016;
 356.57697, 283.03818;
 377.18484, 277.09073]
