[174.52559, 215.54216;
 174.82117, 215.57495;
 199.64232, 218.49399;
 212.26013, 220.40475;
 224.3322, 220.98018;
 224.62317, 221.00143;
 249.02571, 223.68291;
 249.42012, 223.68437;
 174.49173, 215.53926;
 184.52171, 226.87914;
 184.79977, 226.92921;
 209.89603, 229.42085;
 224.36539, 221.04082;
 234.96622, 232.37665;
 249.08679, 223.70671;
 247.54581, 233.47354;
 169.72487, 235.50893;
 184.50877, 226.88545;
 194.65654, 238.47089;
 209.89316, 229.4252;
 223.14455, 231.38109;
 235.00272, 232.38148;
 244.89679, 243.53976;
 245.35213, 243.57802;
 169.6889, 235.50562;
 178.87149, 246.71782;
 194.64218, 238.47029;
 204.79547, 249.59538;
 220.4178, 240.79625;
 231.25606, 252.20482;
 233.43143, 242.43867;
 245.34325, 243.58244;
 156.72882, 244.77748;
 178.86606, 246.7177;
 179.30949, 246.76852;
 204.79408, 249.59573;
 205.22264, 249.61801;
 231.25865, 252.22108;
 231.57237, 252.29268;
 243.53705, 254.13652]
