[115.38466, 371.81735;
 129.90868, 371.70056;
 144.69345, 371.01492;
 159.29915, 370.92804;
 173.79314, 370.72754;
 188.32608, 370.68594;
 202.45738, 370.5625;
 216.50601, 370.46408;
 115.35666, 372.14038;
 129.88611, 371.7955;
 143.69049, 382.41992;
 159.28632, 371.18674;
 173.80435, 370.91666;
 188.31844, 370.83694;
 202.45615, 370.6622;
 216.50687, 370.52939;
 113.71751, 383.28519;
 128.92628, 382.9682;
 143.6868, 382.50247;
 158.72722, 382.60178;
 173.47054, 382.34842;
 187.80682, 382.40356;
 202.27141, 387.51288;
 216.64673, 393.36908;
 112.51893, 395.61609;
 127.53254, 395.23816;
 142.82419, 394.49426;
 157.7281, 394.63577;
 172.5887, 394.38538;
 187.38135, 399.51248;
 202.2243, 392.68994;
 216.64732, 393.46021;
 110.84125, 407.35184;
 126.63583, 406.44379;
 141.91379, 406.24829;
 157.21219, 406.35437;
 172.24745, 405.30801;
 187.26859, 405.69357;
 201.83185, 405.97995;
 216.61035, 404.42926]
