[259.13275, 245.19009;
 276.78009, 248.44807;
 295.26782, 251.81262;
 313.62616, 255.04578;
 332.66879, 258.53537;
 351.91803, 261.99438;
 371.54459, 265.62152;
 391.52969, 269.18771;
 251.48582, 262.45422;
 269.67728, 265.87665;
 287.85034, 269.35101;
 306.69717, 273.18301;
 325.6225, 276.56155;
 345.24792, 280.49301;
 364.86523, 284.0076;
 385.15891, 288.21057;
 243.88318, 280.24094;
 261.9729, 283.75745;
 280.65817, 287.61835;
 299.35272, 291.35953;
 318.64548, 295.4147;
 338.22073, 299.12848;
 358.29932, 303.38217;
 378.53613, 307.31635;
 235.91635, 298.3812;
 254.465, 302.29211;
 272.88156, 306.15814;
 292.12656, 310.36734;
 311.38605, 314.3002;
 331.26602, 318.61862;
 351.25012, 322.73416;
 371.80826, 327.26672;
 228.19598, 316.80807;
 246.40599, 320.89102;
 265.41296, 325.27609;
 284.49054, 329.51453;
 304.06592, 333.91977;
 323.89841, 338.24042;
 344.3316, 342.84802;
 364.90326, 347.34409]
