[348.44336, 103.711;
 368.28091, 104.05644;
 388.7442, 104.35211;
 409.15762, 104.24742;
 430.08975, 104.49756;
 451.05487, 104.47308;
 472.49997, 104.61324;
 494.16891, 104.52654;
 345.27554, 121.02184;
 365.59512, 121.39791;
 385.79642, 121.3287;
 406.76871, 121.98389;
 427.56503, 122.01997;
 449.08395, 122.40199;
 470.41003, 122.28259;
 492.46011, 122.79051;
 342.31345, 138.57767;
 362.49362, 138.83458;
 383.40067, 139.45224;
 404.11197, 139.56633;
 425.46454, 140.22089;
 446.68097, 140.35306;
 468.6449, 140.86392;
 490.59512, 141.07652;
 338.89481, 156.62134;
 359.70526, 157.13464;
 380.38104, 157.41426;
 401.65649, 158.16618;
 422.86337, 158.40645;
 444.72501, 159.05392;
 466.55615, 159.32747;
 488.98074, 159.95938;
 335.99371, 174.4637;
 356.51208, 175.1871;
 377.73456, 176.0096;
 399.0502, 176.53081;
 420.64417, 177.3856;
 442.52942, 177.76248;
 464.74567, 178.54832;
 487.32028, 178.97475]
