[91.409523, 204.73459;
 104.30145, 210.08842;
 117.27565, 208.93555;
 130.54196, 208.47055;
 143.48157, 207.45528;
 156.67136, 206.72046;
 169.42882, 205.84033;
 182.44969, 205.14397;
 91.061913, 210.8331;
 104.32221, 210.30812;
 117.26471, 209.25069;
 130.54402, 208.61786;
 143.47472, 207.6449;
 156.66612, 206.91339;
 169.4194, 206.14021;
 182.46802, 205.2843;
 90.827217, 222.84082;
 103.85272, 234.17029;
 117.47849, 221.19962;
 130.29617, 220.24947;
 143.62227, 219.69954;
 156.47751, 224.49487;
 169.6385, 217.58386;
 182.51003, 216.74789;
 90.251915, 241.43611;
 103.85631, 234.4164;
 116.99806, 233.48718;
 130.48491, 232.73114;
 143.45477, 231.45323;
 156.71556, 230.67004;
 169.66057, 229.75656;
 182.87735, 235.17513;
 89.697105, 256.21182;
 103.51044, 245.94745;
 116.94329, 245.40953;
 130.27919, 244.16643;
 143.49718, 243.84235;
 156.72433, 242.86093;
 169.76753, 242.12604;
 182.90587, 241.03267]
