[222.71986, 234.33565;
 242.31143, 230.60176;
 262.23502, 226.3593;
 281.63693, 222.40443;
 301.72794, 218.23692;
 321.40643, 214.18315;
 341.48413, 209.9417;
 361.20706, 205.66577;
 223.02785, 249.25209;
 243.3008, 244.84753;
 263.09445, 240.94014;
 283.40756, 236.70216;
 303.35342, 232.65619;
 323.69449, 228.42688;
 343.60513, 224.36128;
 364.09134, 220.18272;
 223.5172, 264.26273;
 243.63432, 260.25204;
 264.39853, 255.88255;
 284.5256, 251.83968;
 305.29285, 247.58128;
 325.57285, 243.44301;
 346.38629, 239.19437;
 366.78049, 234.99428;
 223.56921, 280.12216;
 244.51335, 275.68127;
 265.18976, 271.65811;
 286.32599, 267.40619;
 306.90247, 263.27313;
 327.96112, 258.8624;
 348.73547, 254.61426;
 369.96899, 250.4425;
 224.138, 296.19958;
 245.08411, 292.06689;
 266.43945, 287.68433;
 287.49805, 283.61191;
 308.96182, 279.35809;
 330.22952, 274.9212;
 351.55765, 270.60617;
 372.89752, 266.34821]
