97.2286,208.391
122.691,208.333
150.881,208.512
181.679,208.694
214.967,209.354
250.319,210.045
286.871,211.038
323.912,212.219
94.4271,240.559
120.063,241.748
148.297,242.999
179.377,244.333
212.829,245.553
248.507,246.908
285.481,248.145
322.98,249.338
92.9568,273.183
118.463,275.475
147.045,277.825
177.952,280.159
211.639,282.333
247.311,284.108
284.459,285.634
321.949,286.638
92.709,305.457
118.518,308.946
146.652,312.371
177.841,315.553
211.284,318.417
246.769,320.741
283.507,322.504
320.931,323.508
94.0088,336.995
119.521,341.447
147.796,345.697
178.544,349.705
211.744,353.263
246.688,355.977
283.077,357.884
319.731,358.828
