[276.97134, 304.79379;
 290.16556, 304.27063;
 302.88446, 302.88834;
 315.88684, 302.129;
 336.6915, 301.11169;
 343.00668, 300.68808;
 361.42203, 298.58112;
 361.73965, 298.55493;
 277.02542, 305.01328;
 290.4079, 314.5946;
 302.89484, 303.07101;
 316.66879, 307.4682;
 336.69226, 301.11176;
 343.75281, 310.69653;
 349.54718, 300.37866;
 368.47964, 298.45917;
 277.79749, 326.48535;
 290.40701, 314.74551;
 304.34561, 319.18048;
 317.36838, 312.82654;
 330.54489, 312.14182;
 343.44861, 310.85226;
 357.09219, 315.35843;
 369.46848, 308.86752;
 277.79974, 326.56943;
 291.22629, 325.42679;
 304.5307, 324.52454;
 318.83719, 334.49857;
 331.32144, 322.61484;
 344.78879, 321.62183;
 357.63211, 320.61716;
 371.23575, 320.07733;
 278.20743, 337.12933;
 291.96692, 336.32959;
 305.34979, 335.63696;
 318.86465, 334.60352;
 332.5672, 333.37549;
 345.83621, 332.57263;
 359.42194, 331.75433;
 372.39142, 330.52768]
