[83.048134, 330.25208;
 95.830498, 327.68277;
 114.79102, 323.4649;
 115.20551, 323.48776;
 139.21178, 318.22073;
 139.51868, 318.24762;
 163.7348, 312.88745;
 171.17406, 311.59509;
 82.980125, 330.39346;
 95.859322, 327.82812;
 108.47021, 330.81058;
 126.8148, 321.16373;
 127.18749, 321.14819;
 152.85233, 326.95782;
 152.24184, 315.79361;
 171.51469, 317.06369;
 83.31604, 342.49377;
 95.838341, 339.5835;
 108.52555, 336.84079;
 121.30874, 334.05667;
 134.45816, 331.26984;
 152.71179, 327.14783;
 165.09329, 324.37732;
 165.36823, 324.34207;
 84.19915, 360.47659;
 97.348907, 351.39545;
 110.30188, 360.60406;
 122.40237, 346.10703;
 135.45607, 343.09521;
 153.74365, 339.16565;
 167.01505, 336.2486;
 173.34508, 335.23395;
 84.378586, 366.46634;
 97.099632, 363.51288;
 110.28319, 360.80814;
 123.22621, 358.02982;
 136.27681, 355.18939;
 148.66455, 352.34842;
 162.38065, 355.90704;
 178.06656, 345.78513]
