[66.29554, 213.85223;
 88.667381, 211.74161;
 110.95329, 209.01147;
 132.41176, 206.59206;
 153.71271, 204.12856;
 174.19147, 201.91478;
 194.53951, 199.47797;
 214.16173, 197.06659;
 69.668877, 230.84558;
 92.749451, 227.63132;
 114.81875, 225.33836;
 137.01192, 222.47682;
 158.09438, 220.04414;
 179.22995, 217.24384;
 199.1842, 214.91464;
 219.48944, 212.44901;
 73.492851, 247.70259;
 96.4534, 244.94688;
 119.38288, 241.64061;
 141.14432, 239.18727;
 162.87897, 236.18469;
 183.63295, 233.36015;
 204.63687, 230.6644;
 224.45955, 228.09233;
 77.088188, 265.57632;
 100.70237, 262.10355;
 123.3548, 259.16632;
 145.90547, 255.92445;
 167.4427, 252.97185;
 188.98201, 249.86351;
 209.50964, 247.06587;
 230.10112, 244.16548;
 80.987328, 283.44318;
 104.503, 280.17383;
 127.85106, 276.54337;
 150.35011, 273.49414;
 172.46008, 270.18762;
 193.93198, 266.7952;
 215.14276, 263.62454;
 235.51901, 260.54727]
