[165.43253, 81.007385;
 186.67244, 82.225967;
 208.75224, 83.062271;
 229.84425, 83.488617;
 251.62627, 84.45253;
 272.73053, 85.12558;
 294.23441, 85.745064;
 315.34186, 86.280113;
 162.70882, 97.996323;
 185.33698, 98.551735;
 206.4184, 99.34893;
 228.88322, 100.36406;
 249.99554, 100.9336;
 272.20273, 101.62146;
 293.12003, 102.1384;
 314.95215, 103.06904;
 160.63756, 114.9915;
 182.44591, 115.7726;
 205.27853, 116.51941;
 226.67815, 117.31351;
 249.26825, 118.24298;
 270.64426, 118.48731;
 293.00296, 119.47976;
 314.30579, 119.86794;
 157.85455, 132.67497;
 180.84592, 133.4052;
 202.71802, 134.29961;
 225.65433, 135.02444;
 247.42548, 135.46805;
 270.11661, 136.28999;
 291.81992, 136.73647;
 314.11639, 137.49667;
 155.66826, 150.51494;
 178.08203, 151.39558;
 201.28467, 152.11223;
 223.58704, 152.95876;
 246.40154, 153.60933;
 268.69858, 154.26898;
 291.42596, 154.81062;
 313.46872, 155.4205]
