[146.67624, 348.78485;
 151.84843, 346.42172;
 169.67235, 338.3194;
 171.24324, 337.73935;
 191.49818, 327.68192;
 196.7149, 328.10498;
 216.39572, 316.07184;
 218.32378, 316.67166;
 146.49472, 349.15509;
 158.0894, 348.47885;
 169.56821, 338.64838;
 180.80591, 336.8204;
 191.90927, 331.36661;
 205.61838, 321.29666;
 214.52092, 318.63452;
 219.36427, 317.46625;
 152.45833, 357.48352;
 164.32021, 356.51553;
 176.82742, 341.67038;
 186.83173, 340.20837;
 200.95157, 332.10153;
 209.94591, 326.22888;
 222.74333, 322.62677;
 230.70363, 322.48663;
 158.13695, 366.22507;
 169.90334, 360.26434;
 178.75792, 354.82791;
 194.35173, 346.31088;
 204.75511, 341.46295;
 216.37479, 333.39526;
 227.59566, 330.25369;
 231.83748, 332.29739;
 165.07207, 379.64456;
 177.24237, 366.54428;
 188.41566, 361.14227;
 200.08089, 355.56277;
 217.39925, 344.66833;
 223.03241, 342.90118;
 234.31277, 337.25616;
 237.13715, 334.49072]
