[167.80325, 291.55966;
 168.20406, 291.58069;
 193.53516, 290.6485;
 193.85167, 290.62564;
 206.9472, 290.55722;
 219.13097, 290.33386;
 231.62425, 290.53156;
 244.94785, 290.33716;
 166.66481, 301.61774;
 166.97285, 301.6369;
 178.7592, 301.41721;
 191.96623, 302.07135;
 206.95709, 290.55829;
 231.39783, 290.52332;
 231.66698, 290.53409;
 251.75584, 290.15219;
 166.58939, 301.63211;
 166.96629, 301.63742;
 184.7906, 306.81354;
 190.63708, 312.21277;
 210.58867, 306.63525;
 216.19574, 312.00494;
 242.64931, 300.87839;
 243.07581, 300.88721;
 164.4489, 312.45782;
 177.17268, 312.32593;
 177.51367, 312.33417;
 202.67419, 312.29111;
 203.10307, 312.27249;
 222.10078, 317.39432;
 229.97479, 312.14575;
 249.10587, 311.56638;
 163.0014, 323.11438;
 163.34271, 323.06339;
 175.58932, 322.77551;
 201.73921, 323.27478;
 207.96945, 323.45474;
 214.81754, 323.40088;
 227.36952, 323.25912;
 247.46741, 322.37119]
