[372.57202, 172.5061;
 392.20834, 173.58789;
 411.6868, 174.65233;
 431.07288, 175.56906;
 450.49103, 176.68477;
 469.57013, 177.59404;
 488.81128, 178.5542;
 507.81216, 179.41055;
 373.17078, 190.43347;
 393.01541, 191.46584;
 412.47562, 192.46361;
 432.25439, 193.45558;
 451.57324, 194.42844;
 471.12637, 195.37556;
 490.27859, 196.22424;
 509.6174, 197.26921;
 373.60873, 208.63054;
 393.46494, 209.62827;
 413.51221, 210.6429;
 433.21683, 211.53461;
 452.87463, 212.55414;
 472.40393, 213.41164;
 491.98993, 214.31854;
 511.29117, 215.21458;
 374.11652, 227.3643;
 394.43393, 228.26605;
 414.33301, 229.17682;
 434.40378, 230.10933;
 454.05368, 231.00423;
 473.87115, 231.75897;
 493.43961, 232.59982;
 513.11426, 233.51421;
 374.66116, 246.3176;
 394.9971, 247.20883;
 415.30917, 248.05022;
 435.36078, 248.85052;
 455.43604, 249.80824;
 475.31628, 250.51839;
 495.15314, 251.38332;
 514.823, 252.18117]
