[240.34464, 337.05069;
 240.54445, 337.10791;
 264.85184, 338.08398;
 265.15601, 338.1553;
 289.79849, 338.57449;
 290.06866, 338.54111;
 314.56577, 338.63708;
 314.76633, 338.63635;
 240.42648, 337.14728;
 240.56862, 337.15866;
 253.41183, 337.84421;
 270.83362, 343.41849;
 278.29572, 339.24014;
 302.4404, 338.37128;
 302.63925, 338.36954;
 314.78729, 338.64258;
 239.26469, 348.51474;
 239.48402, 348.53854;
 263.63095, 349.00916;
 263.84082, 348.95102;
 276.82437, 348.56311;
 288.44745, 348.81894;
 301.20825, 350.20572;
 311.85162, 361.24905;
 237.27162, 360.12415;
 237.45741, 360.12277;
 249.62811, 359.97708;
 274.55078, 361.36719;
 274.87726, 361.33545;
 286.72192, 361.29782;
 300.07559, 360.0899;
 311.90079, 361.36887;
 225.02196, 371.36221;
 236.27502, 371.17542;
 247.88054, 371.54932;
 260.9751, 371.65881;
 272.76096, 371.80017;
 285.75272, 372.57361;
 298.62021, 373.25143;
 310.81995, 373.37122]
