[421.65289, 185.28299;
 432.20917, 185.23268;
 449.67447, 184.44936;
 465.80484, 183.90686;
 483.74536, 183.28094;
 501.6474, 182.44565;
 520.58978, 181.74696;
 539.97064, 180.83282;
 410.43933, 201.26788;
 425.34503, 200.5479;
 441.43298, 200.42291;
 458.7233, 200.14378;
 476.10956, 199.83862;
 494.43198, 199.39737;
 512.94928, 198.78203;
 532.591, 198.5488;
 403.50424, 216.61105;
 417.21436, 216.6279;
 434.45239, 216.6494;
 450.97864, 216.6501;
 468.68936, 216.69798;
 486.64902, 216.52618;
 505.63876, 216.58093;
 525.17023, 216.44562;
 394.80475, 232.94872;
 409.78046, 233.12303;
 426.19373, 233.48534;
 443.47879, 233.75771;
 460.77197, 234.06792;
 479.25507, 234.35596;
 497.82986, 234.52136;
 517.65973, 234.84653;
 385.58112, 249.07596;
 401.58911, 249.79564;
 418.34293, 250.49368;
 435.35165, 251.25024;
 453.12366, 251.75113;
 471.19553, 252.36209;
 490.25888, 252.91103;
 509.76511, 253.54369]
