[124.10806, 335.38312;
 141.6239, 337.52927;
 159.62445, 339.82181;
 177.1674, 341.95172;
 194.80522, 344.21375;
 212.23788, 346.31927;
 229.7421, 348.56241;
 247.07005, 350.42599;
 119.43211, 348.73892;
 137.6767, 351.01443;
 155.49527, 353.26382;
 173.63805, 355.47949;
 191.42313, 357.55533;
 209.4222, 359.7435;
 226.88554, 361.83545;
 244.6817, 364.26297;
 114.84411, 362.64642;
 133.15906, 364.85822;
 151.61856, 367.16086;
 169.75208, 369.30817;
 188.12633, 371.56134;
 206.19896, 373.59644;
 224.34494, 375.8989;
 242.15434, 378.06723;
 109.73202, 377.11633;
 128.70993, 379.30371;
 147.30667, 381.50583;
 166.06207, 383.71292;
 184.44025, 385.89236;
 203.00359, 388.2099;
 221.26094, 390.25833;
 239.62177, 392.46683;
 104.77953, 391.90668;
 123.76764, 394.20874;
 143.07433, 396.47446;
 161.91528, 398.64215;
 180.82806, 400.89807;
 199.53456, 403.04776;
 218.39456, 405.25577;
 236.86736, 407.36691]
