[97.031281, 224.25989;
 109.56816, 223.33026;
 121.65968, 221.65611;
 121.92595, 221.61139;
 145.62939, 219.7977;
 145.83434, 219.79355;
 168.68002, 217.40746;
 168.90596, 217.42575;
 97.345276, 224.29184;
 111.80013, 232.46428;
 122.69331, 226.57692;
 136.70526, 230.44998;
 148.55287, 229.15782;
 158.84651, 223.90096;
 164.64607, 222.58409;
 172.06627, 227.17177;
 100.72438, 239.30774;
 99.625832, 234.27596;
 126.88576, 241.36383;
 139.39186, 239.8927;
 148.45239, 229.29388;
 155.38695, 233.25507;
 174.21825, 236.39514;
 174.3138, 236.4021;
 102.15093, 243.90742;
 114.5047, 242.57294;
 126.76034, 241.39874;
 139.22466, 240.05573;
 150.76338, 238.75272;
 163.45116, 237.62111;
 174.03468, 236.42976;
 175.51031, 241.1024;
 104.65415, 253.74069;
 116.09058, 252.53711;
 129.16086, 251.11598;
 141.56052, 249.60915;
 153.95985, 248.48706;
 166.02589, 247.0316;
 176.8353, 245.99121;
 186.21654, 245.16455]
