[340.06494, 320.36826;
 340.32117, 320.35727;
 352.10385, 320.95258;
 363.25302, 322.08182;
 386.67694, 324.55704;
 387.02792, 324.565;
 398.18472, 325.53351;
 409.89624, 326.06149;
 339.23727, 324.9209;
 344.68253, 325.35684;
 355.87811, 326.46603;
 361.85767, 327.05826;
 379.55768, 328.58136;
 386.84457, 324.57755;
 398.07385, 325.55148;
 409.98288, 326.13416;
 330.29327, 334.05283;
 348.57526, 330.77231;
 348.67456, 330.99817;
 360.4985, 332.00052;
 372.63531, 333.21463;
 384.7963, 333.70615;
 396.29315, 335.28793;
 408.27551, 336.19043;
 334.21756, 339.3183;
 334.25403, 339.30496;
 345.99527, 340.18985;
 357.46823, 341.2377;
 369.56726, 342.68307;
 381.48013, 343.68503;
 393.81067, 344.62625;
 405.76727, 346.40189;
 321.90964, 348.32944;
 331.40729, 348.78381;
 342.23965, 350.28412;
 354.16962, 351.06207;
 366.74249, 352.88959;
 390.94635, 355.25177;
 391.27856, 355.26358;
 403.57349, 355.9278]
