[124.22797, 105.6767;
 138.24565, 105.53812;
 152.84947, 105.14853;
 167.10379, 104.90148;
 181.78995, 104.53674;
 196.1571, 104.38599;
 211.18605, 103.84631;
 225.65453, 103.51346;
 121.48087, 119.29182;
 136.04413, 118.8551;
 150.17671, 118.71881;
 165.05338, 118.41236;
 179.3217, 118.40255;
 194.42172, 117.80541;
 208.67439, 117.62803;
 223.87204, 117.30106;
 118.99276, 132.77628;
 133.27219, 132.66585;
 148.1219, 132.41563;
 162.35924, 132.36282;
 177.39001, 132.1116;
 191.7657, 131.78635;
 206.9726, 131.45204;
 221.60513, 131.39757;
 116.24181, 146.65817;
 130.84079, 146.46133;
 145.26244, 146.49847;
 160.31998, 146.30034;
 174.67812, 146.21278;
 189.90958, 145.81828;
 204.49113, 145.70059;
 219.77113, 145.41872;
 113.57279, 160.59317;
 128.12521, 160.59229;
 142.9216, 160.42761;
 157.60855, 160.42653;
 172.64308, 160.31033;
 187.41338, 160.19112;
 202.61813, 159.91792;
 217.51967, 159.73267]
