[296.5903, 360.5607;
 312.48682, 358.19257;
 328.45944, 355.63406;
 344.36102, 353.21255;
 360.32849, 350.64377;
 376.12512, 348.30615;
 392.21301, 345.75531;
 407.99023, 343.36911;
 298.64117, 376.78445;
 314.84207, 374.23001;
 330.60828, 371.73624;
 346.81482, 369.24783;
 362.69574, 366.81952;
 378.89325, 364.28531;
 394.68134, 361.81229;
 410.85126, 359.37173;
 300.96661, 393.07678;
 317.06027, 390.51508;
 333.29608, 387.84698;
 349.21185, 385.52859;
 365.41782, 382.97018;
 381.36932, 380.47415;
 397.53116, 378.06827;
 413.53052, 375.54669;
 303.26099, 409.50751;
 319.48755, 406.86133;
 335.51224, 404.48904;
 351.8223, 401.88693;
 367.84872, 399.4715;
 384.19427, 396.82361;
 400.26022, 394.45941;
 416.45386, 391.8595;
 305.54834, 426.21396;
 321.67514, 423.66238;
 338.08145, 421.05731;
 354.27975, 418.55426;
 370.54865, 415.98767;
 386.75946, 413.47919;
 403.1301, 410.91058;
 419.33682, 408.53928]
