[397.28668, 285.65335;
 416.34207, 281.55066;
 436.52844, 276.62036;
 455.74774, 271.67798;
 476.21738, 266.75058;
 495.94647, 261.33377;
 516.68365, 257.12674;
 536.60284, 250.61292;
 399.40924, 300.25818;
 419.5835, 294.71985;
 439.20432, 290.28308;
 459.66104, 284.88257;
 479.70773, 279.76648;
 500.44208, 274.55887;
 520.88794, 269.30185;
 542.10699, 264.16049;
 402.01016, 314.41858;
 421.9483, 309.51514;
 442.74734, 304.34476;
 463.12823, 299.13174;
 484.09229, 293.98611;
 504.7883, 288.58759;
 526.10828, 283.38586;
 547.38055, 277.97891;
 404.46121, 329.41068;
 425.33701, 324.18558;
 445.89484, 319.1153;
 467.23502, 313.85809;
 488.25378, 308.56134;
 509.78693, 303.40323;
 531.26276, 297.79944;
 553.27539, 292.54474;
 407.17184, 344.6749;
 428.19205, 339.58218;
 449.6499, 334.4397;
 471.15372, 329.20157;
 492.85184, 323.90182;
 514.6427, 318.47766;
 536.85425, 313.09067;
 559.18188, 307.5701]
