288.904,119.651
321.547,117.523
356.17,116.109
391.852,115.39
427.975,115.728
463.639,117.121
498.22,119.36
530.818,122.285
287.234,151.605
320.461,150.465
355.578,149.673
392.161,149.698
428.885,150.494
465.282,152.052
500.288,154.19
533.445,156.807
285.578,185.298
319.207,184.984
354.728,185.318
391.639,185.888
428.947,187.144
465.653,188.647
501.127,190.664
534.409,192.978
284.261,219.585
317.873,220.583
353.547,221.692
390.627,223.245
428.007,224.683
464.878,226.432
500.311,228.213
533.732,229.991
283.103,254.269
316.486,256.339
352.065,258.501
388.784,260.498
426.069,262.44
462.647,264.178
498.01,265.696
531.387,267.021
