[353.70721, 94.297493;
 368.92911, 94.377533;
 384.82312, 94.678833;
 399.66766, 94.044853;
 415.64185, 94.646118;
 430.08182, 92.209435;
 446.19818, 94.733818;
 460.35883, 92.28418;
 354.65857, 106.78571;
 370.61429, 107.08318;
 385.78076, 107.01762;
 401.79974, 107.51498;
 416.85092, 107.31768;
 432.63556, 107.52449;
 447.495, 107.17129;
 463.28278, 107.53902;
 356.07022, 119.92211;
 371.53989, 119.85662;
 387.65005, 120.16917;
 402.97794, 120.04141;
 418.89874, 120.33997;
 434.10779, 120.19374;
 449.90677, 120.36761;
 465.09631, 120.27607;
 357.07275, 133.21277;
 373.29584, 133.33594;
 388.69586, 133.26492;
 404.91818, 133.44081;
 420.31891, 133.32446;
 436.29245, 133.45476;
 451.54825, 133.34259;
 467.38821, 133.43208;
 358.4649, 146.55684;
 374.30869, 146.56316;
 390.48102, 146.64586;
 406.23663, 146.66818;
 422.30161, 146.84534;
 437.89206, 146.63029;
 453.76797, 146.66873;
 469.38947, 146.53413]
