[365.48019, 341.26978;
 380.84833, 339.85599;
 396.58386, 338.40677;
 411.86279, 336.91345;
 427.48123, 335.51248;
 442.60175, 334.11877;
 458.03632, 332.63394;
 473.26111, 331.25403;
 367.37158, 356.91705;
 383.22635, 355.37064;
 398.54044, 353.9325;
 414.39407, 352.46307;
 429.6058, 351.03015;
 445.33109, 349.50089;
 460.41193, 348.07727;
 475.83572, 346.63663;
 369.45816, 372.73541;
 385.1376, 371.31223;
 400.96777, 369.66772;
 416.46149, 368.21527;
 432.24228, 366.67599;
 447.53156, 365.25012;
 463.23883, 363.66885;
 478.43234, 362.30859;
 371.39328, 388.84207;
 387.39328, 387.2627;
 403.04352, 385.71716;
 418.90067, 384.19696;
 434.42563, 382.65393;
 450.28305, 381.0965;
 465.5545, 379.55209;
 481.28351, 378.07932;
 373.53564, 405.22253;
 389.4216, 403.54459;
 405.4202, 401.87756;
 421.1633, 400.40454;
 436.93796, 398.7627;
 452.61099, 397.22006;
 468.42032, 395.53461;
 483.96414, 394.1073]
