[225.60965, 255.13249;
 246.94162, 257.12329;
 268.44278, 259.0925;
 289.92578, 261.01724;
 311.59268, 262.95364;
 333.34564, 265.01474;
 355.08292, 266.89813;
 376.89474, 268.87057;
 222.48027, 276.21848;
 244.1073, 278.31802;
 265.57123, 280.26074;
 287.37305, 282.32932;
 309.12552, 284.34363;
 330.94208, 286.38788;
 352.80359, 288.37408;
 374.85211, 290.39124;
 219.46069, 297.60437;
 241.0833, 299.59927;
 262.84555, 301.7681;
 284.62997, 303.7308;
 306.5538, 305.89709;
 328.5701, 307.98868;
 350.63678, 310.12552;
 372.75589, 312.21918;
 216.21797, 319.29712;
 238.117, 321.36655;
 259.94028, 323.61243;
 281.95148, 325.72629;
 303.94775, 327.78452;
 326.26425, 329.99387;
 348.38202, 332.16312;
 370.70758, 334.40002;
 212.98874, 341.36301;
 234.97868, 343.51184;
 257.06146, 345.66241;
 279.1929, 347.90405;
 301.45145, 350.14157;
 323.7066, 352.32956;
 346.11475, 354.5379;
 368.55896, 356.67209]
