[410.49054, 213.65504;
 425.44913, 213.12909;
 440.75558, 212.69182;
 455.54221, 212.22513;
 470.65482, 211.71135;
 485.18961, 211.31544;
 500.25189, 210.69788;
 514.63361, 210.21153;
 412.90311, 227.51823;
 428.49539, 227.07509;
 443.3909, 226.40323;
 458.70911, 226.02142;
 473.51251, 225.43156;
 488.69312, 224.85918;
 503.22507, 224.29736;
 518.17383, 223.7588;
 415.74289, 241.73508;
 431.06665, 241.17274;
 446.59372, 240.52101;
 461.57108, 239.95013;
 476.95551, 239.4357;
 491.72678, 238.76292;
 506.91391, 238.28082;
 521.56763, 237.62193;
 418.44775, 256.19766;
 434.1669, 255.52675;
 449.38461, 254.98019;
 464.87451, 254.31688;
 479.93381, 253.60478;
 495.2951, 252.98859;
 510.17792, 252.24637;
 525.25012, 251.63106;
 421.36603, 270.84396;
 436.84137, 270.21942;
 452.56705, 269.4845;
 467.88568, 268.7887;
 483.40427, 268.18457;
 498.57642, 267.36917;
 513.79626, 266.59213;
 528.91571, 265.95227]
