[205.54955, 307.75345;
 223.61171, 309.04535;
 241.93182, 310.26016;
 259.95526, 311.36035;
 278.22513, 312.5267;
 296.13269, 313.67459;
 314.2691, 314.91119;
 332.21255, 315.9664;
 203.59874, 325.66068;
 222.17622, 326.8793;
 240.21571, 328.06122;
 258.56177, 329.2493;
 276.65411, 330.44193;
 294.99844, 331.5217;
 312.82416, 332.62491;
 331.21017, 333.86429;
 201.79817, 343.82578;
 220.16339, 344.97211;
 238.70924, 346.16498;
 256.871, 347.30869;
 275.39603, 348.49377;
 293.5174, 349.48151;
 311.91119, 350.72931;
 330.00742, 351.82367;
 199.70158, 362.34778;
 218.50188, 363.43295;
 236.80634, 364.52774;
 255.54938, 365.7291;
 273.74847, 366.72711;
 292.418, 367.90384;
 310.59415, 369.12186;
 329.03842, 370.33887;
 197.83685, 381.00726;
 216.45363, 382.1478;
 235.30905, 383.25897;
 253.7793, 384.33728;
 272.51257, 385.53595;
 290.93042, 386.54819;
 309.52463, 387.69275;
 327.9744, 388.80267]
