[121.49802, 81.720291;
 138.2204, 85.051956;
 155.43356, 88.330498;
 172.13686, 91.392731;
 189.40834, 94.643951;
 205.93321, 97.63578;
 223.10826, 100.81086;
 239.7981, 103.76005;
 117.3882, 97.701683;
 134.7509, 101.07038;
 151.35115, 104.01611;
 168.76358, 107.38921;
 185.24367, 110.45157;
 202.62943, 113.57448;
 219.07616, 116.54323;
 236.37981, 119.94187;
 113.41709, 113.75652;
 130.43115, 116.87822;
 147.88141, 120.27084;
 164.46207, 123.35571;
 181.88811, 126.63936;
 198.51721, 129.54901;
 215.91106, 132.84901;
 232.62479, 135.81613;
 109.30097, 129.94711;
 126.67616, 133.23877;
 143.46948, 136.38884;
 161.04182, 139.65961;
 177.74751, 142.69986;
 195.25398, 145.98216;
 212.02031, 148.99931;
 229.12434, 152.28912;
 105.20139, 146.32913;
 122.28226, 149.47881;
 139.75699, 152.70177;
 156.81857, 155.89552;
 174.07474, 159.17914;
 191.13948, 162.27879;
 208.46736, 165.50177;
 225.42087, 168.50923]
