[410.00638, 137.23471;
 425.67407, 137.69127;
 440.23169, 138.45345;
 453.56229, 133.10811;
 469.65457, 139.8163;
 480.20898, 131.79939;
 499.15881, 141.03374;
 505.81329, 140.74278;
 410.04218, 137.3076;
 425.67715, 137.77682;
 440.2554, 138.60068;
 455.6568, 139.07954;
 469.64822, 140.00703;
 485.01562, 139.77592;
 498.62833, 141.20418;
 514.651, 141.51309;
 413.93915, 154.99666;
 427.80463, 150.11252;
 443.16626, 150.21785;
 457.79474, 151.16887;
 473.11118, 151.70374;
 487.61234, 152.38914;
 503.15555, 152.66687;
 515.98535, 153.41557;
 414.94519, 161.33894;
 431.79022, 168.02138;
 445.46399, 162.74602;
 460.87985, 162.84062;
 475.63513, 163.81856;
 491.02347, 163.7874;
 505.24667, 165.02098;
 521.02502, 165.45111;
 418.91348, 180.14958;
 432.91214, 174.45288;
 449.90546, 181.26541;
 463.66956, 175.94797;
 480.51654, 182.37103;
 494.05524, 176.67914;
 509.51746, 176.60425;
 524.00494, 178.07204]
