[395.41891, 292.16788;
 410.63068, 290.75229;
 426.2186, 289.46243;
 441.29581, 288.04504;
 456.52618, 286.6268;
 471.48514, 285.35138;
 486.62259, 283.99329;
 501.50833, 282.55942;
 397.80649, 307.27823;
 413.50894, 305.68439;
 428.63617, 304.38098;
 444.30371, 302.96051;
 459.34369, 301.55603;
 474.67044, 300.1817;
 489.55472, 298.73285;
 504.75232, 297.43097;
 400.51636, 322.56778;
 415.98721, 321.03198;
 431.67761, 319.53445;
 446.91501, 318.1561;
 462.44879, 316.63669;
 477.55527, 315.21188;
 492.93903, 313.74551;
 507.92523, 312.4039;
 403.09415, 338.1048;
 418.83929, 336.50323;
 434.26413, 335.04617;
 450.01071, 333.50195;
 465.34698, 332.04114;
 480.84833, 330.49579;
 496.07892, 329.04642;
 511.41403, 327.56851;
 405.73059, 353.78696;
 421.43512, 352.26205;
 437.30716, 350.62952;
 452.74625, 349.17093;
 468.4881, 347.58865;
 483.85577, 346.02975;
 499.47467, 344.42856;
 514.74152, 342.97986]
