[66.539955, 183.70352;
 81.386726, 184.729;
 96.644653, 185.55421;
 111.45274, 186.49188;
 126.66611, 187.35451;
 141.46503, 188.2827;
 156.68932, 189.08305;
 171.54813, 189.85155;
 62.955654, 197.14911;
 78.365005, 197.97856;
 93.27449, 198.98251;
 108.61813, 199.75131;
 123.53275, 200.73009;
 138.9325, 201.55292;
 153.69975, 202.53471;
 169.21262, 203.34747;
 59.585426, 210.66621;
 74.666428, 211.59651;
 90.282051, 212.46538;
 105.28904, 213.50095;
 120.73738, 214.39021;
 135.68616, 215.32602;
 151.29666, 216.16095;
 166.3421, 217.13234;
 55.823654, 224.52727;
 71.452446, 225.32631;
 86.621758, 226.43375;
 102.37744, 227.27356;
 117.46343, 228.30067;
 133.12416, 229.10313;
 148.22952, 230.14833;
 163.7495, 230.93974;
 52.351349, 238.44095;
 67.702637, 239.49089;
 83.503319, 240.37888;
 98.831879, 241.40048;
 114.57682, 242.32547;
 129.87503, 243.28067;
 145.5844, 244.12308;
 160.85571, 245.0479]
