[281.74356, 377.41232;
 294.59027, 376.52939;
 313.61841, 375.07895;
 313.96448, 374.9516;
 338.77371, 373.21643;
 339.16159, 373.15454;
 351.52277, 371.62338;
 364.91037, 369.98682;
 281.74365, 377.55838;
 294.56775, 376.70834;
 307.55826, 375.54886;
 320.65613, 379.94205;
 332.71014, 373.55426;
 352.59177, 383.33392;
 351.55353, 371.62686;
 371.39734, 369.8642;
 282.67307, 395.4223;
 295.39008, 388.51163;
 308.40628, 387.43451;
 321.25864, 386.16019;
 334.57416, 385.23386;
 346.96307, 384.19122;
 359.98898, 382.78162;
 365.81848, 382.07047;
 282.97849, 401.70685;
 295.94583, 400.43161;
 309.08728, 399.95883;
 322.18808, 398.52048;
 334.75177, 397.14005;
 347.64267, 396.41129;
 360.57935, 395.38101;
 373.71442, 394.31781;
 283.4924, 414.41977;
 297.03482, 419.07751;
 309.61453, 411.42966;
 322.82605, 411.0267;
 336.6416, 415.95105;
 349.2934, 407.83197;
 362.83667, 413.51169;
 375.4971, 406.39069]
