[207.31841, 223.99625;
 219.85248, 228.5527;
 235.37514, 234.44431;
 248.80574, 238.67923;
 263.55835, 244.81471;
 277.40616, 249.52692;
 292.25549, 255.48589;
 306.70267, 260.01685;
 199.95956, 235.42731;
 213.62978, 240.93326;
 227.25624, 245.73752;
 242.06635, 251.51381;
 256.41895, 256.65811;
 271.30478, 262.41977;
 285.36264, 267.31894;
 300.33948, 273.29453;
 192.25488, 248.27144;
 205.87943, 253.2366;
 220.71065, 258.92786;
 234.65179, 264.08392;
 249.47557, 269.8291;
 263.74451, 274.85287;
 278.81067, 280.6088;
 293.48557, 286.23849;
 184.27095, 260.71811;
 198.6768, 266.2829;
 212.5986, 271.49081;
 227.70021, 277.42905;
 242.0584, 282.67963;
 257.02661, 288.48721;
 271.63101, 293.88858;
 286.65942, 299.74857;
 176.4686, 273.74927;
 190.54866, 279.21057;
 205.35666, 284.83142;
 219.92099, 290.47949;
 234.79997, 296.32532;
 249.56886, 301.80722;
 264.60748, 307.58493;
 279.63852, 313.32437]
